"date","hits","keyword","geo","time","gprop","category"
2022-04-03,46,"Netflix","US","today+5-y","web",0
2022-04-10,50,"Netflix","US","today+5-y","web",0
2022-04-17,63,"Netflix","US","today+5-y","web",0
2022-04-24,53,"Netflix","US","today+5-y","web",0
2022-05-01,49,"Netflix","US","today+5-y","web",0
2022-05-08,48,"Netflix","US","today+5-y","web",0
2022-05-15,49,"Netflix","US","today+5-y","web",0
2022-05-22,49,"Netflix","US","today+5-y","web",0
2022-05-29,55,"Netflix","US","today+5-y","web",0
2022-06-05,51,"Netflix","US","today+5-y","web",0
2022-06-12,49,"Netflix","US","today+5-y","web",0
2022-06-19,53,"Netflix","US","today+5-y","web",0
2022-06-26,53,"Netflix","US","today+5-y","web",0
2022-07-03,53,"Netflix","US","today+5-y","web",0
2022-07-10,56,"Netflix","US","today+5-y","web",0
2022-07-17,63,"Netflix","US","today+5-y","web",0
2022-07-24,54,"Netflix","US","today+5-y","web",0
2022-07-31,57,"Netflix","US","today+5-y","web",0
2022-08-07,54,"Netflix","US","today+5-y","web",0
2022-08-14,55,"Netflix","US","today+5-y","web",0
2022-08-21,55,"Netflix","US","today+5-y","web",0
2022-08-28,51,"Netflix","US","today+5-y","web",0
2022-09-04,51,"Netflix","US","today+5-y","web",0
2022-09-11,46,"Netflix","US","today+5-y","web",0
2022-09-18,56,"Netflix","US","today+5-y","web",0
2022-09-25,68,"Netflix","US","today+5-y","web",0
2022-10-02,58,"Netflix","US","today+5-y","web",0
2022-10-09,55,"Netflix","US","today+5-y","web",0
2022-10-16,53,"Netflix","US","today+5-y","web",0
2022-10-23,54,"Netflix","US","today+5-y","web",0
2022-10-30,53,"Netflix","US","today+5-y","web",0
2022-11-06,48,"Netflix","US","today+5-y","web",0
2022-11-13,47,"Netflix","US","today+5-y","web",0
2022-11-20,62,"Netflix","US","today+5-y","web",0
2022-11-27,58,"Netflix","US","today+5-y","web",0
2022-12-04,53,"Netflix","US","today+5-y","web",0
2022-12-11,54,"Netflix","US","today+5-y","web",0
2022-12-18,58,"Netflix","US","today+5-y","web",0
2022-12-25,63,"Netflix","US","today+5-y","web",0
2023-01-01,58,"Netflix","US","today+5-y","web",0
2023-01-08,53,"Netflix","US","today+5-y","web",0
2023-01-15,55,"Netflix","US","today+5-y","web",0
2023-01-22,51,"Netflix","US","today+5-y","web",0
2023-01-29,55,"Netflix","US","today+5-y","web",0
2023-02-05,48,"Netflix","US","today+5-y","web",0
2023-02-12,48,"Netflix","US","today+5-y","web",0
2023-02-19,54,"Netflix","US","today+5-y","web",0
2023-02-26,49,"Netflix","US","today+5-y","web",0
2023-03-05,49,"Netflix","US","today+5-y","web",0
2023-03-12,48,"Netflix","US","today+5-y","web",0
2023-03-19,45,"Netflix","US","today+5-y","web",0
2023-03-26,48,"Netflix","US","today+5-y","web",0
2023-04-02,47,"Netflix","US","today+5-y","web",0
2023-04-09,52,"Netflix","US","today+5-y","web",0
2023-04-16,53,"Netflix","US","today+5-y","web",0
2023-04-23,48,"Netflix","US","today+5-y","web",0
2023-04-30,45,"Netflix","US","today+5-y","web",0
2023-05-07,42,"Netflix","US","today+5-y","web",0
2023-05-14,47,"Netflix","US","today+5-y","web",0
2023-05-21,54,"Netflix","US","today+5-y","web",0
2023-05-28,51,"Netflix","US","today+5-y","web",0
2023-06-04,51,"Netflix","US","today+5-y","web",0
2023-06-11,51,"Netflix","US","today+5-y","web",0
2023-06-18,52,"Netflix","US","today+5-y","web",0
2023-06-25,49,"Netflix","US","today+5-y","web",0
2023-07-02,52,"Netflix","US","today+5-y","web",0
2023-07-09,50,"Netflix","US","today+5-y","web",0
2023-07-16,49,"Netflix","US","today+5-y","web",0
2023-07-23,47,"Netflix","US","today+5-y","web",0
2023-07-30,41,"Netflix","US","today+5-y","web",0
2023-08-06,46,"Netflix","US","today+5-y","web",0
2023-08-13,46,"Netflix","US","today+5-y","web",0
2023-08-20,45,"Netflix","US","today+5-y","web",0
2023-08-27,46,"Netflix","US","today+5-y","web",0
2023-09-03,49,"Netflix","US","today+5-y","web",0
2023-09-10,42,"Netflix","US","today+5-y","web",0
2023-09-17,42,"Netflix","US","today+5-y","web",0
2023-09-24,45,"Netflix","US","today+5-y","web",0
2023-10-01,43,"Netflix","US","today+5-y","web",0
2023-10-08,44,"Netflix","US","today+5-y","web",0
2023-10-15,45,"Netflix","US","today+5-y","web",0
2023-10-22,45,"Netflix","US","today+5-y","web",0
2023-10-29,45,"Netflix","US","today+5-y","web",0
2023-11-05,44,"Netflix","US","today+5-y","web",0
2023-11-12,46,"Netflix","US","today+5-y","web",0
2023-11-19,54,"Netflix","US","today+5-y","web",0
2023-11-26,47,"Netflix","US","today+5-y","web",0
2023-12-03,44,"Netflix","US","today+5-y","web",0
2023-12-10,51,"Netflix","US","today+5-y","web",0
2023-12-17,49,"Netflix","US","today+5-y","web",0
2023-12-24,56,"Netflix","US","today+5-y","web",0
2023-12-31,58,"Netflix","US","today+5-y","web",0
2024-01-07,53,"Netflix","US","today+5-y","web",0
2024-01-14,53,"Netflix","US","today+5-y","web",0
2024-01-21,56,"Netflix","US","today+5-y","web",0
2024-01-28,50,"Netflix","US","today+5-y","web",0
2024-02-04,47,"Netflix","US","today+5-y","web",0
2024-02-11,48,"Netflix","US","today+5-y","web",0
2024-02-18,59,"Netflix","US","today+5-y","web",0
2024-02-25,53,"Netflix","US","today+5-y","web",0
2024-03-03,48,"Netflix","US","today+5-y","web",0
2024-03-10,49,"Netflix","US","today+5-y","web",0
2024-03-17,44,"Netflix","US","today+5-y","web",0
2024-03-24,46,"Netflix","US","today+5-y","web",0
2024-03-31,45,"Netflix","US","today+5-y","web",0
