"","date","hits","keyword","geo","time","gprop","category"
"183",2022-09-25,20,"Bitcoin","US","today+5-y","web",0
"184",2022-10-02,19,"Bitcoin","US","today+5-y","web",0
"185",2022-10-09,19,"Bitcoin","US","today+5-y","web",0
"186",2022-10-16,17,"Bitcoin","US","today+5-y","web",0
"187",2022-10-23,17,"Bitcoin","US","today+5-y","web",0
"188",2022-10-30,16,"Bitcoin","US","today+5-y","web",0
"189",2022-11-06,36,"Bitcoin","US","today+5-y","web",0
"190",2022-11-13,34,"Bitcoin","US","today+5-y","web",0
"191",2022-11-20,26,"Bitcoin","US","today+5-y","web",0
"192",2022-11-27,23,"Bitcoin","US","today+5-y","web",0
"193",2022-12-04,20,"Bitcoin","US","today+5-y","web",0
"194",2022-12-11,21,"Bitcoin","US","today+5-y","web",0
"195",2022-12-18,19,"Bitcoin","US","today+5-y","web",0
"196",2022-12-25,18,"Bitcoin","US","today+5-y","web",0
"197",2023-01-01,17,"Bitcoin","US","today+5-y","web",0
"198",2023-01-08,20,"Bitcoin","US","today+5-y","web",0
"199",2023-01-15,22,"Bitcoin","US","today+5-y","web",0
"200",2023-01-22,20,"Bitcoin","US","today+5-y","web",0
"201",2023-01-29,20,"Bitcoin","US","today+5-y","web",0
"202",2023-02-05,17,"Bitcoin","US","today+5-y","web",0
"203",2023-02-12,18,"Bitcoin","US","today+5-y","web",0
"204",2023-02-19,17,"Bitcoin","US","today+5-y","web",0
"205",2023-02-26,16,"Bitcoin","US","today+5-y","web",0
"206",2023-03-05,17,"Bitcoin","US","today+5-y","web",0
"207",2023-03-12,25,"Bitcoin","US","today+5-y","web",0
"208",2023-03-19,28,"Bitcoin","US","today+5-y","web",0
"209",2023-03-26,22,"Bitcoin","US","today+5-y","web",0
"210",2023-04-02,19,"Bitcoin","US","today+5-y","web",0
"211",2023-04-09,24,"Bitcoin","US","today+5-y","web",0
"212",2023-04-16,20,"Bitcoin","US","today+5-y","web",0
"213",2023-04-23,19,"Bitcoin","US","today+5-y","web",0
"214",2023-04-30,18,"Bitcoin","US","today+5-y","web",0
"215",2023-05-07,19,"Bitcoin","US","today+5-y","web",0
"216",2023-05-14,17,"Bitcoin","US","today+5-y","web",0
"217",2023-05-21,16,"Bitcoin","US","today+5-y","web",0
"218",2023-05-28,15,"Bitcoin","US","today+5-y","web",0
"219",2023-06-04,18,"Bitcoin","US","today+5-y","web",0
"220",2023-06-11,16,"Bitcoin","US","today+5-y","web",0
"221",2023-06-18,20,"Bitcoin","US","today+5-y","web",0
"222",2023-06-25,19,"Bitcoin","US","today+5-y","web",0
"223",2023-07-02,18,"Bitcoin","US","today+5-y","web",0
"224",2023-07-09,19,"Bitcoin","US","today+5-y","web",0
"225",2023-07-16,17,"Bitcoin","US","today+5-y","web",0
"226",2023-07-23,16,"Bitcoin","US","today+5-y","web",0
"227",2023-07-30,15,"Bitcoin","US","today+5-y","web",0
"228",2023-08-06,14,"Bitcoin","US","today+5-y","web",0
"229",2023-08-13,17,"Bitcoin","US","today+5-y","web",0
"230",2023-08-20,17,"Bitcoin","US","today+5-y","web",0
"231",2023-08-27,16,"Bitcoin","US","today+5-y","web",0
"232",2023-09-03,15,"Bitcoin","US","today+5-y","web",0
"233",2023-09-10,13,"Bitcoin","US","today+5-y","web",0
"234",2023-09-17,13,"Bitcoin","US","today+5-y","web",0
"235",2023-09-24,12,"Bitcoin","US","today+5-y","web",0
"236",2023-10-01,14,"Bitcoin","US","today+5-y","web",0
"237",2023-10-08,14,"Bitcoin","US","today+5-y","web",0
"238",2023-10-15,17,"Bitcoin","US","today+5-y","web",0
"239",2023-10-22,25,"Bitcoin","US","today+5-y","web",0
"240",2023-10-29,20,"Bitcoin","US","today+5-y","web",0
"241",2023-11-05,21,"Bitcoin","US","today+5-y","web",0
"242",2023-11-12,19,"Bitcoin","US","today+5-y","web",0
"243",2023-11-19,19,"Bitcoin","US","today+5-y","web",0
"244",2023-11-26,19,"Bitcoin","US","today+5-y","web",0
"245",2023-12-03,30,"Bitcoin","US","today+5-y","web",0
"246",2023-12-10,24,"Bitcoin","US","today+5-y","web",0
"247",2023-12-17,22,"Bitcoin","US","today+5-y","web",0
"248",2023-12-24,21,"Bitcoin","US","today+5-y","web",0
"249",2023-12-31,28,"Bitcoin","US","today+5-y","web",0
"250",2024-01-07,45,"Bitcoin","US","today+5-y","web",0
"251",2024-01-14,24,"Bitcoin","US","today+5-y","web",0
"252",2024-01-21,21,"Bitcoin","US","today+5-y","web",0
"253",2024-01-28,17,"Bitcoin","US","today+5-y","web",0
"254",2024-02-04,19,"Bitcoin","US","today+5-y","web",0
"255",2024-02-11,29,"Bitcoin","US","today+5-y","web",0
"256",2024-02-18,23,"Bitcoin","US","today+5-y","web",0
"257",2024-02-25,44,"Bitcoin","US","today+5-y","web",0
"258",2024-03-03,52,"Bitcoin","US","today+5-y","web",0
"259",2024-03-10,49,"Bitcoin","US","today+5-y","web",0
"260",2024-03-17,36,"Bitcoin","US","today+5-y","web",0
"261",2024-03-24,34,"Bitcoin","US","today+5-y","web",0
"262",2024-03-31,30,"Bitcoin","US","today+5-y","web",0
