"","date","hits","keyword","geo","time","gprop","category"
"208",2023-03-19,45,"Netflix","US","today+5-y","web",0
"209",2023-03-26,48,"Netflix","US","today+5-y","web",0
"210",2023-04-02,47,"Netflix","US","today+5-y","web",0
"211",2023-04-09,52,"Netflix","US","today+5-y","web",0
"212",2023-04-16,53,"Netflix","US","today+5-y","web",0
"213",2023-04-23,48,"Netflix","US","today+5-y","web",0
"214",2023-04-30,45,"Netflix","US","today+5-y","web",0
"215",2023-05-07,42,"Netflix","US","today+5-y","web",0
"216",2023-05-14,47,"Netflix","US","today+5-y","web",0
"217",2023-05-21,54,"Netflix","US","today+5-y","web",0
"218",2023-05-28,51,"Netflix","US","today+5-y","web",0
"219",2023-06-04,51,"Netflix","US","today+5-y","web",0
"220",2023-06-11,51,"Netflix","US","today+5-y","web",0
"221",2023-06-18,52,"Netflix","US","today+5-y","web",0
"222",2023-06-25,49,"Netflix","US","today+5-y","web",0
"223",2023-07-02,52,"Netflix","US","today+5-y","web",0
"224",2023-07-09,50,"Netflix","US","today+5-y","web",0
"225",2023-07-16,49,"Netflix","US","today+5-y","web",0
"226",2023-07-23,47,"Netflix","US","today+5-y","web",0
"227",2023-07-30,41,"Netflix","US","today+5-y","web",0
"228",2023-08-06,46,"Netflix","US","today+5-y","web",0
"229",2023-08-13,46,"Netflix","US","today+5-y","web",0
"230",2023-08-20,45,"Netflix","US","today+5-y","web",0
"231",2023-08-27,46,"Netflix","US","today+5-y","web",0
"232",2023-09-03,49,"Netflix","US","today+5-y","web",0
"233",2023-09-10,42,"Netflix","US","today+5-y","web",0
"234",2023-09-17,42,"Netflix","US","today+5-y","web",0
"235",2023-09-24,45,"Netflix","US","today+5-y","web",0
"236",2023-10-01,43,"Netflix","US","today+5-y","web",0
"237",2023-10-08,44,"Netflix","US","today+5-y","web",0
"238",2023-10-15,45,"Netflix","US","today+5-y","web",0
"239",2023-10-22,45,"Netflix","US","today+5-y","web",0
"240",2023-10-29,45,"Netflix","US","today+5-y","web",0
"241",2023-11-05,44,"Netflix","US","today+5-y","web",0
"242",2023-11-12,46,"Netflix","US","today+5-y","web",0
